Interview Domain,Interview Turns,Human Follow Up Question,No. Of Relevant Speaker Turns,Type
Hiking trail finding,"Interviewer: Yeah, you mentioned adding snacks and looking for good weather. What are the other factors you consider?
Interviewee: I guess there are some apps the national park services have for the major national parks to see if trails are closed due to snow or some other weather incidents. These are updated fairly frequently, but this does not really happen on other smaller hikes, like maybe in state parks or something, so that would be helpful to have. Another thing is, with so many people going missing over the recent past, I think it would be nice to have some kind of accountability, like some kind of geotagging or location-based tracking, for people who might be alone. Or, I mean, maybe when weather circumstances are not that great, but people are still hiking somewhere; that might just help with these accidents.",Are there any other things you can think of that would make the hiking experience a bit better?,2,Alternative-seeking
Hiking trail finding,"Interviewer: See, that sounds scary. Have you had any other scary experiences?
Interviewee: Just being tired and all, but nothing as scary as this one. I think 6 months ago there was a hike that actually progressed into the south of the canyon and the north of the canyon. The north of the canyon has way more water. Three months ago, a lady actually died of hypothermia north of the canyon, so I think just these data points surrounding the event also made it really scary for me.
Interviewer: Yeah, definitely sounds interesting. So, would you be willing to participate in hiking programs like this?
Interviewee: I think not. I just want to avoid the scary hiking trails with horrid stories a little and just be alert when I'm hiking because these kinds of stories just scare me unnecessarily a bit.
Interviewer: Have you had any other scary experiences which might have put a stop to your hiking or something?
Interviewee: I think it's important to be mindful of these things. If the local people hadn't alerted me and other visitors there of this outburst of water—the water was so dry before that it was not intuitive to me that the outburst could happen there. So I think it's extremely important to be mindful of the possible risks and then just move on and go on with the hike.",What would be your topmost recommendation apart from that?,2,Alternative-seeking
Hiking trail finding,"Interviewer: And what about the things you wear for hiking alone or with a group of friends or family?
Interviewee: I prefer hiking with a group of friends, and it depends. Have you always been with friends, or have you had an experience hiking alone as well? I had one experience hiking alone, and it was not very remote. I felt safe doing that, but apart from that one time, I've always been with friends.
Interviewer: Well, you just mentioned safety, so what kind of methods do you use to ensure that your hike is safe, and is that a factor when deciding where to hike?
Interviewee: Yes, I mean, nowadays, with so many stories of people going missing, I don't want to be one of those people. So if it's super remote, I prefer not to go alone. Like, if I'm hiking a trail that is not very popular in Yellowstone or something, I'd be more cautious and maybe get some gear to inform people about my whereabouts, etc.","And in your experience when you've always been with friends, have you had an experience hiking alone on remote hikes?",4,Question probing
Hiking trail finding,"Interviewer: And if you have to give any tips to someone, what kind of weather would you recommend when going for a hike?
Interviewee: I recommend no extreme weather because too much heat is bad, too much of anything is bad. But I have hiked both in the rain and in the snow with light rain and snow although I thought it will not be fun but actually it was fun  I think the only tips would be to be mindful of your surroundings be very alert because one does not know what might happen and or what's there in nature like there are other animals which might be scared of us and always carry water. 
Interviewer: that's great I can see you shared a couple tips
Interviewee: some snacks like snacks to sustain and that just being a primary tip","Yeah, you mentioned adding snacks and looking for good weather. What are the other factors you consider?",4,Alternative-seeking
Hiking trail finding,"Interviewer: See, that sounds scary. Have you had any other scary experiences? 
Interviewee: Just being tired and all, but nothing as scary as this one. I think 6 months ago, there was the hike that actually progresses into the south of the canyon and the north of the canyon. So, north of the canyon has way more water. 6 months ago, a lady actually died of hypothermia north of the canyon, so I think just these data points surrounding the event also made it just really scary for me. 
Interviewer: Yeah, definitely sounds interesting. So, would you be willing to participate in hiking programs like this? 
Interviewee: I think no, I just want to avoid the scary hiking trails with horrid stories a little and just be alert when I'm hiking because this kind of story just scares me unnecessarily a bit.",Have you had any other scary experiences which might have put a stop to your hiking or something?,4,Alternative-seeking
Apartment finding,"Interviewer: Got it. Alright, when you're looking for apartments, do you often go to visit the apartment? Like, do you take a physical tour of the apartment? 
Interviewee: If I can take a physical tour, I will. But if I'm out of town, I would just do a Zoom virtual one.","Okay, got it. So let's assume you have visited an apartment physically, like for a tour. Can you walk me through the process of how you would evaluate potential apartments, or how you would plan on making a plan to visit these apartments?",1,Answer probing
Apartment finding,"Interviewer: Yeah, makes sense. Yes, okay, so the next question is, have you ever had any difficulty with the property manager? Let's say you visited an apartment, and it fits all your criteria, like you're happy with the apartment and you would like to rent it. After that, are there any difficulties that you have faced with the property manager, the leasing agent, or something like that? If yes, how did you handle that situation? 
Interviewee: I think I told the manager I wanted the one on the top floor, which is, I guess, floor 28. The manager just kind of ghosted me for two days and then responded that the 28th-floor apartment is not available anymore. Then he tried to give me the 24th-floor apartment, which is the same price as the 28th floor, but two floors lower, which I'm kind of pissed off about because I want it as high as possible.",So how did you deal with that situation then?,1,Answer probing
Clinic finding,"Interviewer: What factors do you consider important when finding a doctor’s clinic? 
Interviewee: Okay, I believe the first thing when it comes to choosing a doctor is whether the ratings are good, so it's a big bonus if anyone in my close friends or family has had a doctor before and has liked the same one. If that's not the case, then the second thing I do is Google particular doctor clinics with good ratings, and if it's covered by my insurance, I'll just proceed with that particular clinic; maybe the proximity to my place, but that is the least important.","So, about ratings, how do you decide what's a good rating?",1,clarification
Clinic finding,"Interviewer: What factors do you consider important while finding a doctor’s clinic?
Interviewee: Okay, I believe the first thing when it comes to choosing a doctor is whether the ratings are good. It's a big bonus if anyone among my close friends or family has seen a doctor before and has had a similar experience. If that's not the case, then the second thing I do is I Google doctors' clinics with good ratings, and if it's covered by my insurance, I'll just proceed with that particular clinic. Maybe proximity to my place, but that is the least important.
Interviewer: So you are focusing more on the content of the reviews rather than the actual rating number?
Interviewee: Yes, the main criteria are getting cured and how quickly that happens. I would talk to them if the doctor prescribes a minimal number of medicines instead of a large amount.","Okay, then. When you say minimal, how do you classify something as minimal or not?",1,clarification
Clinic finding,"Interviewer: OK, you also had mentioned Google reviews. Can you tell me, for Google, what is the criteria for reviews?
Interviewee: It's mostly the same, but when it comes to Google, they expect to have a good number of reviews. Because it's like the best of both worlds; I like both quantity and quality, but I wouldn't want to compromise quality in favor of quantity.","OK, when you say a good number of reviews, is there a specific criteria that you use, or is it just relative to the existing number of reviews for the person?",1,clarification
Clinic finding,"Interviewer: What factors do you consider important while finding a doctor’s clinic? 
Interviewee: Okay, I believe the first thing when it comes to choosing a doctor is whether the ratings are good, so it's a big bonus if anyone among my close friends or family has had a doctor before and had a similar experience. If that's not the case, then the second thing that I do is Google the particular doctor clinics with good ratings, and if it's covered under my insurance, I'll just proceed with that particular clinic. Maybe the proximity to my place, but that is the least important.","OK, and to be clear, you're not focusing on the actual rating number; you are more focusing on the content of the review, correct?",3,Confirmation
Apartment finding,"Interviewer: What factors do you think are most important to you when you're looking for an apartment? 
Interviewee: Safety, price, the size, and the look of the apartment. 
Interviewer: Okay, alright. And while you're searching for the apartment, let's say you have multiple options. How do you prioritize the search criteria based on different factors like maybe the location, the size, the amenities offered, or the pricing? Like, what are the different factors that you would incorporate in your search and how would you prioritize them? Got it. 
Interviewee: Okay, so perfect. First of all, I prioritize the price. I need to make sure that's affordable. The second one will be the safety. Basically, I search the crime map around that apartment. The third is probably going to be the interior, like if the apartment is new or old. For example, sometimes the washer and dryer are not included or not in-unit; you have to share it with the entire level or entire building. Another point will be amenities.","Got it, alright. When you're looking for apartments, do you often go to visit the apartment? Like, do you take a physical tour of the apartment?",0,Topic change
Apartment finding,"Interviewer: Got it. All right, when you're looking for apartments, do you often go to visit the apartment? Like, do you take a physical tour of the apartment? 
Interviewee: If I can take a physical tour, I will. But if I'm out of town, I would just do a Zoom virtual one. 
Interviewer: Okay, got it. So let's assume you have visited an apartment physically for a tour. Can you walk me through the process of how you would evaluate potential apartments, or how would you plan on making a plan to visit these apartments? 
Interviewee: First, it's just an email to schedule an apartment visit. Then, when I visit, I will pay attention to the neighborhood of the entire building to see if it's safe enough. When I enter the building, I will just look around, and typically the manager will introduce the amenities in the public space to you. Finally, when I enter the apartment, I will pay attention to the walls and the painting to see if they look good. But sometimes, they will just show you a sample room, which is usually furnished and pretty nice, so that's not too objective. Maybe one more thing is I typically prefer rooms where you can open the window to the maximum extent. For example, sometimes apartments don't have windows in your bedroom, and even if they have one window, you cannot open it too much. So that's something I will pay attention to, and that's something you will not be able to see or find out when you only look at their website or the floor plan, you have to physically interact with the window.","Yeah, makes sense, makes sense. Yes, okay. So the next question is, have you ever had any difficulty with the property manager? Let's say you visited an apartment; it fits all your criteria, you're happy with the apartment, and you would like to rent it. After that, are there any difficulties that you have faced with the property manager, the leasing agent, or something like that? If yes, how did you handle that situation?",0,Topic change
Apartment finding,"Interviewer: yeah makes sense make sense yes okay so the next question is have you ever had any difficulty with the property manager let's say you you visited an apartment it fits all your criterias okay like you're happy with the apartment and you would like to rent it out after that are there any difficulties that you have faced with the property manager the leasing agent or something like that if yes how did you handle that situation
Interviewee: I think I I told the manager I want the one in the top floor which is I guess floor 28 the manager just kind of ghosted me for 4 days and then responded that the 28th floor apartment is not available anymore and then he tried to give me that 24th floor apartment which is the same price as the 28th floor but two floor lower which I'm kind of pissed off because I want as high as possible
Interviewer: so how did you how did you deal with that situation then
Interviewee: because now I have the 24th floor instead of 28th floor I tried to lower the price by talking to the manager I didn't remember if the manager actually lower the price I think he didn't but I remember he offered me 6 months or 6 months free of parking so I got the parking free for half a year eventually yeah","All right, so just a follow-up or the next question: What are some key questions or, like, what are the important questions that you would ask a landlord or the property manager before signing a lease?",0,Topic change
Apartment finding,"Interviewer: All right, so just a follow-up or the next question. What are some key questions or, like, what are the important questions that you would ask a landlord or the property manager before signing a lease? 
Interviewee: So, I need to know if the utilities are included, if there's any, like, water or electricity. I want to know sometimes the apartment will handle electricity for you, like set up the account for you, etc. But in <anonymous>, I need to set up the account myself, and that's a super tedious process. I have to call to connect several times. Because I am an international student, they cannot verify my identity, and there's back and forth several times, and the phone line is super hard to pick up. Another thing I want to ask the manager is about the key fob. Typically, in my apartment, if you lose your key fob, you have to pay $400 for an extra one. That's super expensive, and that's a lesson I learned. Next time when I rent a house or apartment, I need to ask how much I need to pay or if the key fob is covered by the landlord.","Got it. So, the next question is about negative experiences that you had after you moved in. Let's say everything went perfectly, you signed the lease, and everything was great. After you moved in, you started having some problems in your apartment, maybe related to heating or water or something else. In that particular scenario, how did you handle the situation?",0,Topic change
Apartment finding,"Interviewer: Got it, so the next question is about the negative experiences you had after you moved in. Let's say everything went perfectly: you signed the lease, and everything was great. After you moved in, you started having some problems in your apartment, maybe related to heating or water or something else. In that particular scenario, how did you handle the situation? 
Interviewee: One thing I remember about my apartment is that when you have your package delivered by either Amazon or UPS or whatever, the leasing office will take it for you. But you can only pick it up during their office hours. So after the office closes, you cannot access it. This is a pretty hard issue for people who have to commute to campus from morning to night. My entire commuting schedule, like my entire campus hours, does not overlap with their office hours, so whenever my package is delivered, I will not be able to pick it up unless I go back home from campus earlier than their office hours. That's one issue that's kind of bothering me all the time, and typically, there is actually no way to handle it except for what I said, which is to go back from campus earlier. I tried to talk to them several times, but their response is that they want to keep the package for you because it's safer. If you leave it outdoors, outside the building, it will be stolen or just lost. I can understand them, even though there are still scenarios where my package got lost or stolen by someone I don't know. So yeah, I think that's one thing that pops up in my mind.","Yeah, yeah, the next question is, what advice would you give to someone who is currently searching for a new apartment? Like, what are some tips and tricks that you would give to maybe a junior who's looking for an apartment in the same city as you?",0,Topic change
Apartment finding,"Interviewer: Yeah, yeah. The next question is, what advice would you give to someone who is currently searching for a new apartment? Like, what are some tips and tricks you would give to, maybe, a junior who's looking for an apartment in the same city as you?
Interviewee: First of all, definitely reach out to set up the electricity account as soon as possible if the apartment does not cover that for you, because that process is super tedious and takes time. Also, look for an apartment with a window facing in a good direction, without other buildings blocking the light, because sunlight is rare and you need to value it. Capturing sunlight in <anonymous> can really improve your mood, so definitely look for an apartment that has good exposure and a spacious interior.","I got it. Finally, the last question is: can you describe the ideal apartment that you would like to live in?",0,Topic change
Apartment finding,"Interviewer: I got it. And finally, the last question is, can you describe the ideal apartment that you would like to live in? 
Interviewee: Yes, I would like an apartment that is reasonably priced, not too expensive, and also not too cheap, because if it's cheap, then it's probably too old. I want good amenities, and especially if it has a swimming pool, that would be perfect. I want the utilities to be included; for example, the water, especially the water, should be included. I mean, water is something that an apartment should offer. Electricity is from a third party, so I don't expect that to be included. Oh yeah, one more important thing is the soundproofing. I want the apartment to be as soundproof as possible; I'm not a person who is very robust or insensitive to noise. Whenever there is noise, I cannot sleep well, so I want the apartment to be soundproof. I think that's pretty much it.","All right, perfect. That's it from my end.",0,Topic change
Clinic finding,"Interviewer: What factors do you consider important while finding a doctor’s clinic?
Interviewee: Okay, I believe the first thing when it comes to choosing a doctor is whether the ratings are good. It's a big bonus if anyone in my close friends or family has had a doctor before and they have the same opinion. If that's not the case, then the second thing that I do is I Google for particular doctor clinics with good ratings, and if it's covered under my insurance, I'll just proceed with that particular clinic; maybe the proximity to my place, but that is the least important.
Interviewer: So, about ratings, how do you decide what's a good rating?
Interviewee: Yeah, suppose a doctor you're supposed to talk to has the relevant expertise in, say, doing a good job because, in most cases, doctors keep telling us to follow up for no reason.
Interviewer: OK, just to be clear, you're not focusing on the actual rating number; you are more focused on the content of the review, right?
Interviewee: The main criteria are getting cured and how quickly it happens. I would prefer if the doctor prescribes a minimal number of medicines instead of prescribing a large amount.
Interviewer: OK, then when you say minimal, how do you classify something as minimal?
Interviewee: Based on my experience, I've been to doctors who prescribe a lot of medicines. For instance, I once had a motorcycle accident where I wounded my hand, and some doctors prescribed me plenty of painkillers. In my opinion, this doesn't really help; it only works on the side effects instead of improving the actual condition. So, in instances like that, I would prefer if a doctor avoids such prescriptions. I believe that counts as minimal medicine.","OK, you also mentioned Google reviews. Can you tell if, on Google, is it the same criteria for Google reviews as well?",0,Topic change
Clinic finding,"Interviewer: OK, you also mentioned Google reviews. Can you tell me what the criteria for Google reviews are?
Interviewer: OK. So, when you say a good number of reviews, is there a specific criterion that you use, or is it just relative to the existing number of reviews from other clinics?
Interviewer: So, based on that, you decide if this is worth visiting or not?","So, just to be clear, if it is in Minot, then you'll first check insurance and then consider the reviews. But for some major element, you will prefer another method.",0,Topic change
Clinic finding,"Interviewer: Okay, then finally, just to clarify, for proximity, do you consider something that is well-connected with public transport, or a Lyft or Uber? Would you consider that? 
Interviewee: Yes, I would.",Thank you for the interview!,0,Topic change
Apartment finding,"Interviewer: What factors do you think are most important to you when you're looking for an apartment? 
Interviewee: Safety, price, and the size and look of the apartment.","Okay, all right, and while you're searching for the apartment, let's say you have multiple options. How do you prioritize the search criteria based on different factors, like location, size, amenities offered, and pricing? What are the different factors that you would incorporate in your search, and how would you prioritize them?",2,Question probing
Clinic finding,"Interviewer: OK, you also did mention proximity. How big of a factor is proximity? 
Interviewee: Right now, as things stand, I believe proximity is a major factor because I don't own a vehicle. Yeah, if the doctor is well connected using public transport or even Uber, then that plays a huge role in me going to that particular doctor.","OK, you first look at insurance and ratings; you would then consider proximity to shortlist which clinic you want to choose.",2,Confirmation
Clinic finding,"Interviewer: OK, you also mentioned proximity. How big of a factor is proximity?
Interviewee: Right now, as things stand, I believe proximity is a major factor because I don't own a vehicle. If the doctor is well connected using public transport or even Uber, then that plays a huge role in me going to that particular doctor.
Interviewer: OK, you first look at insurance and ratings, and you would then consider proximity to shortlist which clinic you want to choose.
Interviewee: Reference is a big factor; that's like first-hand experience from my friends and family members, so that would hold a lot of weight.","Just for you, would you put it before rating or searching on Google, or after that?",2,Preference
Clinic finding,"Interviewer: OK, you also mentioned Google reviews. Can you tell me what the criteria for Google reviews are?
Interviewee: It's mostly the same, but when it comes to Google, I expect to have a good number of reviews. I like both quantity and quality, but I wouldn't want to compromise quality in favor of quantity.
Interviewer: OK, oh, when you say a good number of reviews, is there some target area that you use, or is it just relative to the existing number of reviews a person has?
Interviewee: Oh yes, it's connected to whatever the other doctors or clinics have.","OK, OK, oh, so based on that, you decide if this is worth visiting or not?",4,Confirmation
Clinic finding,"Interviewer: OK, you first look at insurance and ratings, you would then consider proximity to shortlist which clinic you want to choose 
Interviewee: reference is a big factor that's like first-hand experience by my friends and family members so that would hold a lot of weight
Interviewer: Just for you, would you put it before rating, or searching on Google
Interviewee: only if I have a serious injury or a serious ailment, but overall I wouldn't give references much of straight edge","So you will first categorize it as major or minor. If it is minor, you will look at the insurance and find clinics your insurance covers, then you look at the ratings, Google reviews, and the proximity in that particular order. If it is major, then you will put the ratings and Google reviews before you consider the insurance.",4,Confirmation
Clinic finding,"Interviewer: OK, oh, you also did mention proximity. How big of a factor is proximity? 
Interviewee: Right now, as things stand, I believe proximity is a major factor because I don't own a vehicle. Yeah, like if the doctor is well-connected using public transport or even Uber, then that plays a huge role in me going to that particular doctor. 
Interviewer: OK, you first look at insurance and ratings, then you would consider proximity to shortlist which clinic you want to choose? 
Interviewee: Reference is a big factor; that's like first-hand experience from my friends and family members, so that would hold a lot of weight. 
Interviewer: Just for you, would you put it before rating or searching on Google, or after that? 
Interviewee: Only if I have a serious injury or a serious ailment, but overall I wouldn't give references much of a straight edge. 
Interviewer: So you will first categorize it as major or minor. If it is minor, you will look at the insurance and find clinics your insurance covers, then you look at the ratings, Google reviews, and the proximity in that particular order. If it is major, then you will put the ratings and Google reviews before you consider the insurance. 
Interviewee: Just based on my feeling, that's like if I feel my illness tends to fall a bit on the minor side.","Okay. Then, finally, just to repeat, for proximity, you consider something that is well-connected with public transport or a Lyft or Uber. You will consider that. Correct?",6,Confirmation
Restaurant finding,"Interviewer: Right. Yeah. And would you say you take risks while choosing a restaurant, like you want to try something really different or stuff like that, or do you just stick to these factors that you just mentioned? 
Interviewee: I do try out a lot of new places, and I'm okay with being disappointed sometimes. I don't go to a lot of new places, but sometimes it's like you don't want to expect very often that the reviews will be accurate, even on, you know, Google or from people, but they just don't sometimes match my preferences. That gets a little difficult.",Right. So have you recently had any such experience with a restaurant that did not turn out well according to your expectations?,1,Answer probing
Restaurant finding,"Interviewer: Okay. And do you have any go-to restaurants here in <anonymous> that you frequent? If you had to recommend them to someone, how would you? 
Interviewee: Okay. Brunch at Theirs is great. Then there is Mkew. It has some good food.","Can you explain any one of them, or why do you like that particular place?",1,Answer probing
Restaurant finding,"Interviewer: Okay. Do you have any go-to restaurants here in <anonymous> that you frequent? If you had to recommend them to someone, how would you? 
Interviewee: Okay. Brunch at Theirs is great. Then there is Mkew. It has some good food. 
Interviewer: Can you explain any one of them, or why do you like that particular place? 
Interviewee: That restaurant's probably where I go most often. They have a great Sunday brunch. They have good discounts and also like Irish coffee. Also, they let you sit outside. It's nice. Service is great. They have a good selection of, you know, big plates. And also, it's pretty close to where I stay, so I can walk there on Sunday mornings. It's easy. It's also a nice walk. Hmm. Apart from that, I think one thing that's just nice is they allow Apple Pay. So Sundays, when I get out, I want to get out with nothing but my mobile. I can go somewhere else after the food. You walk or something, but most places require me to have my wallet on me.","Yeah, so for ease of payment, have you had issues with choosing a restaurant? Like, I know some don't accept Apple Pay. So would that be a factor for you?",1,Answer probing
Restaurant finding,"Interviewer: What factors do you look for while selecting a restaurant?
Interviewee: So, what time of the day it is. What type of food I actually like eating, if I'm going with many people, few people, or alone. What the occasion is. How much I'm willing to spend. What I feel like eating, I don't know if I mentioned that, and what's open.
Interviewer: Okay. Yeah, sounds good. So, out of all of these factors, which one would you say is the most important thing?
Interviewee: What time and what is open are probably the most important.","Okay. And, do you usually search online, go on sites, and search about the restaurant before you make your decision?",0,Topic change
Restaurant finding,"Interviewer: Okay. And, do you usually go online, visit sites, and search for the restaurant before making your decision? 
Interviewee: I usually don't look at reviews, but I just look at the menu and rely more on that. 
Interviewer: Okay. And, do you rely on word of mouth, or do you use any websites if you have to look online? 
Interviewee: I usually don't look at reviews, but in the past, I think I have looked at just Google reviews. That's probably the extent of it.","Okay. Okay. Yeah, you also mentioned that mood is an important factor for you. So, what kind of cuisines do you prefer when you're choosing a restaurant?",0,Topic change
Restaurant finding,"Interviewer: You're choosing a restaurant and you want to select a particular cuisine. How do you go about that? 
Interviewee: Okay. Yeah, this is very mood-dependent and also depends on whether it's lunch or dinner. For example, I would not go for anything Asian for breakfast, whereas if it's lunch or dinner, it's a very popular choice for me. Also, if I am meeting somebody, it depends. For someone I'm meeting casually or who I'm not very familiar with, I would probably not opt for American cuisine, which usually involves burgers and fries, or something that could be easily eaten with a spoon.","Do you have any particular recent experiences where you've tried looking for a restaurant? I mean, you can share either a good experience or a bad experience.",0,Topic change
Restaurant finding,"Interviewer: Right. And do you have any particular experiences recently where you've tried looking for a restaurant? I mean, you can share either a good experience or a bad one. 
Interviewee: I was really craving dumplings. I looked it up, you know, 'dumplings near me,' 'best dumplings in <anonymous>,' and got a bunch of options, but again, I don't know how trustworthy those are. I asked two of my friends as well. One gave me a bunch of places and told me what I could get at each place, so what would be good. And the other one had similar views, so for the one that matched, I just went to that place and had a good experience.","Great. Yeah, and going with the next part, how would you rate the following things when you're choosing a restaurant? So first would be the ambiance or the atmosphere of the restaurant.",0,Topic change
Restaurant finding,"Interviewer: Let's go to the next part. How would you rate the following things when you're choosing a restaurant? First would be the ambiance or the atmosphere of the restaurant. 
Interviewee: Ambiance mostly matters, but if the food is not good, I don't care so much about the ambiance. If it's an occasion, then I would definitely like the ambiance to be good. That's when it starts mattering more, unlike with the regular everyday situation.","Okay, and what about the service quality? Do you consider those things when choosing a restaurant?",0,Topic change
Restaurant finding,"Interviewer: Okay. And what about the service quality? Do you look at those things when choosing one? 
Interviewee: So it would depend on the time of day. I do a lot of breakfasts and brunches, and those are times when I'm most comfortable spending a little. I’m not very likely to spend a lot during those meals. But as for dinner, again, I might spend more. So, it’s very dependent on the time for me and also, again, the occasion and who I’m going with.",Right. What about seating differences? Do you look at that?,0,Topic change
Restaurant finding,"Interviewer: Right. What about seating differences? Do you look at that?
Interviewee: Yeah, I think seating's also super important to me. Comfortable seating, the option to be able to sit outdoors is always nice to have, and if they do have seating outdoors, do they have seating available? Also, if possible, I do not prefer sitting on chairs. I prefer booths or couch seating. So there's that.",Okay. So we just talked about the service quality. Same thing as the price range. Is there anything else that you can think of that would be a factor for you?,0,Topic change
Restaurant finding,"Interviewer: Ok. So we just talked about the service quality. It's the same thing as the price range. Is there anything else that you can think of which would be a factor for you? 
Interviewee: How well the menu is explained. Because sometimes you just have the dishes, and you don't know what it means. So it helps to have some sort of explanation if I need it. I am not a big fan of codes being used; it's just very inconvenient for me, at least. I also consider music or just the loudness of the place. I was somewhere last evening, and I could not hear what my friend was saying at all. It would be good if you could have a conversation, but the music was loud, like we noticed that everybody was trying to talk over the music. Nobody's really enjoying the music. So that, I think, becomes a big factor, like with the ambiance.","Hmm. Yeah. So, the next part would be, how do you make a decision when you have multiple options and you have to choose between a couple of restaurants? How do you go about making that decision? Because there's always a lot of restaurants to choose from.",0,Topic change
Restaurant finding,"Interviewer: Hmm. Yeah. Yeah, so, the next part would be like, how do you make a decision when you have multiple options? You have to choose between a couple of restaurants. So, how do you go about making that decision? Because there are always a lot of restaurants to choose from. 
Interviewee: Right. I feel another thing I didn't touch upon earlier was distance. How long would it take to get there if I'm going to walk there, if I'm driving there, or if I'm using public transport? I think that becomes a huge factor as well. It's also this gut feeling that makes me feel like I want to go there.","Right. Yeah. And would you say you take risks while choosing a restaurant, like when you want to try something really different? Stuff like that, or do you just stick to the factors you just mentioned?",0,Topic change
Restaurant finding,"Interviewer: Right. Yeah. And would you say you take risks while choosing a restaurant, like you want to try something really different or stuff like that, or do you just stick to these factors that you just mentioned?
Interviewee: I do try out a lot of new places, and I'm okay with being disappointed sometimes. I don't go to a lot of new places often, but sometimes, like, you don't want to expect much. Very often, the reviews will be made, even on, you know, Google or from people, but they just don't sometimes match my preferences. That gets a little difficult.
Interviewer: Right. So have you recently had any such experience with a restaurant that did not turn out as good as you expected?
Interviewee: Yeah, so there's this restaurant in <anonymous>. Every time I kind of came across that place, it looked great from the outside. It looked dark, with these paralyzing lights. So, you know, it seemed interesting. So that looked like a place I wanted to go, and then each time I tried to go there, it didn't work out. So once I got a reservation, but they had to close the kitchen for something on their side, so my reservation was canceled. Then they're not open on Sundays, so I couldn't go there on a Sunday. And then when I finally did get a reservation and was able to go there, I got a bunch of things, but it didn't really. We didn't really enjoy the food, you know.
Interviewer: Cool. Yeah, so when you have such experiences, would you just cross out that restaurant from your list? Or would you give it another chance?
Interviewee: No, I'm never going to go back to that place again.","Okay. And do you have any go-to restaurants here in <anonymous> that you frequent? If you had to recommend them to someone, how would you?",0,Topic change
Restaurant finding,"Interviewer: Okay. Do you have any go-to restaurants here in <anonymous> that you frequent? If you had to recommend them to someone, how would you do it?
Interviewee: Okay. Brunch at Theirs is great. Then there is Mkew. It has some good food.
Interviewer: Can you explain any one of them or why do you like that particular place?
Interviewee: That restaurant is probably where I go most often. They have a great Sunday brunch. They have good discounts and also like Irish coffee. Also, they let you sit outside. It's nice. The service is great. They have a good selection of big plates. Also, it's pretty close to where I stay, so I can walk there on Sunday morning. It's easy, and it's also a nice walk. Hmm. Apart from that, I think one thing that's just nice is they allow Apple Pay. So on Sundays, when I go out, I want to go out with nothing but my mobile. So I can go somewhere else after the food, go for a hike or something, but most places require me to have my wallet on me.
Interviewer: Yeah, so for ease of payment, have you had issues with choosing a restaurant? Like, I know some don't accept Apple Pay. So would that be a factor for you?
Interviewee: So I think sometimes if I'm aware of the restaurant not accepting Apple Pay, then I can go there. But if I don't know, it becomes a problem. I recently had such an issue. It was in school, and it was around 9:60. Places were already closing down. We placed an order and then realized we didn't have our wallets. So I went without dinner and had to go back home. That was an issue.","And is delivery relevant to you when choosing a restaurant for food delivery? Yeah, if you have experience with that.",0,Topic change
Restaurant finding,"Interviewer: And is delivery relevant to you? Yeah, choosing a restaurant for food delivery, do you have experience with that? 
Interviewee: I think the biggest thing is how quickly they can get the food to me. If they usually pass food in, that's usually nice to have when choosing restaurants. 
Interviewer: So would something like time to deliver or location matter with that? 
Interviewee: Yeah, yeah, the time to deliver is the biggest factor for me. I usually prefer places I've already been to or ordered from, so I'm not looking from a larger pool, just looking at the same places over and over again. Whereas if I'm going out, I'm trying out new places. 
Interviewer: Yeah, so you prefer more adventure when going to a restaurant. 
Interviewee: Yeah.",Interviewer: I think we're at the end of our interview. Thank you so much for your time.,0,Topic change
Restaurant finding,"Interviewer: What factors do you look for while selecting a restaurant?
Interviewee: So what time of the date is if. What type of food actually like eating if I'm going with many people, few people alone. What the occasion is. How much I'm willing to spend. What I feel like meeting, I don't know if I mentioned that, what's open.","Okay. Sounds good. So, out of all of these factors, which one would you say is the most important?",2,Question probing
Restaurant finding,"Interviewer: Okay. Do you usually search online, go to sites, and search for the restaurant before you make your decision?
Interviewee: I usually don't look at reviews, but I just look at the menu, and I rely more on that.","Okay. Do you rely on word of mouth, or do you use any websites if you have to look online?",2,Question probing
Restaurant finding,"Interviewer: Right. Yeah. And would you say you take risks while choosing a restaurant, like you want to try something really different or stuff like that, or do you just stick to these factors that you just mentioned?
Interviewee: I do try out a lot of new places, and I'm okay with being disappointed sometimes. I don't go to new places often, but sometimes, like, you don't want to expect too much; the reviews will be there, even on, you know, Google or from people, but they just don't sometimes match my preferences. That gets a little difficult.
Interviewer: Right. So have you recently had any such experience with a restaurant that did not turn out well as per your expectations?
Interviewee: Yeah, so there's this restaurant in <anonymous>. Every time I came across that place, it looked great from the outside—looked dark, with paralyzed lights. So, you know, it seemed interesting. So, it looked like a place I wanted to go, and then each time I tried to go there, it didn't work out. So once I got a reservation, but they had to close the kitchen for something on their side, so my reservation was canceled. Then they're not open on Sundays, so I couldn't go there on a Sunday. And then when I finally did get a reservation and was able to go there, I got a bunch of things, but it didn't really work out. We didn't really enjoy the food, you know ...","Cool. Yeah, so when you have such experiences, would you just cross out that restaurant from your list, or would you give it another chance?",2,Question probing
Restaurant finding,"Interviewer: And is delivery relevant to you? Yeah, choosing a restaurant for food delivery, if you have experience with that.
Interviewee: I think the biggest concern is how quickly they can get the food to me. If they usually deliver food quickly, I know that's nice to have when choosing restaurants.",So would something like time to deliver or location be relevant to that?,2,Question probing
