Q1,Q2,Interviewee_speech,Domain,Criterion,A1,A2_Q1,A2_Q2,A3_Q1,A3_Q2,A4_Q1,A4_Q2,origin
How do you find information about a restaurant's prices and portion sizes?,Can you describe a memorable experience where you felt that a restaurant successfully balanced pricing and portion size?,I think I'm looking for the balance it was a bounce between the pricing and the portion so even if it is expensive but it has a great amount of portion I think I will assume that it's a good thing but if it's unbalanced like it has a great high price but very less portion or Little Portion I will hate it,restaurant finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,2,4,5,1,1,1,5,1
What other factors do you consider for deciding what to wear?,How do you determine what clothes to bring based on the weather forecast for your hikes?,"for clothes it really depends on the weather conditions how the weather is looking for the next probably a few hours
",hiking trail finding,"A good follow-up question should not involve multiple kinds of requirements, i.e., it should not mix different categories of requirements or multiple specific requirements within one category into one single question.",1,5,4,2,5,4,2,1
How important is the extra amount on top of insurance that one pays while deciding which clinic to visit?,What specific public transport options do you prefer when choosing a clinic?,one important factor for me is the public transport option because I don't drive and I myself don't need any disability accessibility I don't want to change buses to reach the clinic,clinic finding,"A good follow-up question should use common vocabulary, it should not contain special words or expressions that are not in the common vocabulary.",2,1,4,2,4,4,3,1
What other alternatives do you consider besides walking on hiking trails?,How do you access the published information about trail lengths for parks in your city?,yes well I decide whether a trail is long or short by how many miles it is  usually for state parks or even most of the parks in my city they have published information regarding how long one Loop of the trail is  I try to walk at least a mile at a time,hiking trail finding,"A good follow-up question should not ask the interviewee to present a solution to satisfy a requirement. For example, it's inappropriate to ask users about how to design a specific feature, or what would an ideal user interface look like.",2,3,4,3,4,3,3,1
What factors do you consider while deciding what to eat?,How do you usually decide which type of restaurant or cuisine to choose if you're open to eating any type of meat or vegetables?,I don't have any dietary restrictions like I can eat any meat or I can eat any vegetables I'm not even a veggie,restaurant finding,A good follow-up question should look for alternatives to existing information.,1,5,4,4,2,4,3,1
"What are some other payment methods you commonly use, besides Apple Pay?",What other payment methods or features do you think would make the process of finding and dining at a restaurant more convenient for you?,"Just having Apple pay help. Alright, It's more clean, but I am doubtful that's the common case.
",restaurant finding,A good follow-up question should look for alternatives to existing information.,1,4,3,5,5,5,5,1
What alternatives do you consider if you encounter issues with searching for apartments online?,"What else do you use to find apartments, apart from online search?","I start search, online.",apartment finding,A good follow-up question should look for alternatives to existing information.,2,5,5,4,5,4,5,0
What weather conditions do you categorize as extreme?,"When you mentioned that too much heat is bad and too much of anything is bad, could you elaborate more on what you mean by ""too much"" in the context of your hiking experiences?",I recommend no extreme weather because too much heat is bad too much of anything is bad but I have hiked both in the rain and in the snow with light rain and snow although I thought it will not be fun but actually it was really fun  I think the only tips would be to be mindful of your surroundings be very alert because one does not know what might happen and or what's there in nature like there are other animals which might be scared of us and always carry water,hiking trail finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,1,5,4,5,4,5,3,1
What if weather on Google Maps is not updated?,What specific features or information on Google Maps and weather do you find most helpful when planning your hiking trails?,"usually just Google Maps Google weather I mean just the weather on the maps
",hiking trail finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,1,5,4,5,4,5,4,1
Can you share what specific features or warnings you would like to have about a hiking trail to feel safer?,Have you personally had any scary experiences on a hiking trail?,I think no I just want to avoid the scary hiking trails with horrid stories a little and just be alert when I'm hiking because this kind of stories just scared me unnecessarily a bit,hiking trail finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",1,4,5,4,3,3,3,0
What other factors do you consider for deciding what to wear?,How do you typically check the weather conditions before choosing your clothes for a hike?,"for clothes it really depends on the weather conditions how the weather is looking for the next probably a few hours
",hiking trail finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",1,2,4,4,3,4,2,1
What factors would make you consider having roommates or opting for a larger apartment instead of a studio?,Will you consider renting a larger apartment if you rent with two or more people?,I was not going to have roommates in probably a studio. Might depend on how many people I can find.,apartment finding,A good follow-up question should look for alternatives to existing information.,1,3,3,4,3,4,3,0
What if you wear something but the weather changes all of a sudden?,How do you determine what clothes to pack when weather conditions can change rapidly during a hike?,"for clothes it really depends on the weather conditions how the weather is looking for the next probably a few hours
",hiking trail finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,2,5,4,4,5,5,4,1
What are some alternative ways you use to identify safer hiking trails that align with your comfort level?,Are there any other factors that lead you to avoid some trails?,I think no I just want to avoid the scary hiking trails with horrid stories a little and just be alert when I'm hiking because this kind of stories just scared me unnecessarily a bit,hiking trail finding,A good follow-up question should look for alternatives to existing information.,1,5,4,5,5,5,3,0
What kind of ambiance do you think is appropriate for a romantic date versus a celebration?,"Can you elaborate on what you mean by ""high energy"" ambiance during a celebration?",I typically think the Ambiance is more of like a plus that just adds to the place I don't know if I consider it unless there's only like two types of times when I'm looking for a particular Ambience one is like on a romantic date or something like that and the other one is a celebration like maybe I want more high energy but I think if it's just a casual meal or most of the scenarios the Ambiance is just like a plus but not necessarily like what I'm looking for when I'm trying to choose a restaurant on average,restaurant finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,2,5,5,4,5,4,5,1
What factors do you consider when deciding if it's been a decent amount of time since you've had a particular type of food?,What other factors do you consider while finding restaurants?,I usually like to have a bit of diversity so I would not eat what I ate in the last couple days  the exception to that is I can always have pizza breakfast lunch or dinner and anytime even multiple meals a day Pizza is like you know an easy go to option but usually it's related to what haven't I had in a decent amount of time,restaurant finding,"A good follow-up question should not involve multiple kinds of requirements, i.e., it should not mix different categories of requirements or multiple specific requirements within one category into one single question.",2,3,5,4,5,5,4,0
What do you consider a good portion size and a good price for a food item?,"Could you clarify what you mean by ""the balance it was a bounce"" when you're considering pricing and portion size?",I think I'm looking for the balance it was a bounce between the pricing and the portion so even if it is expensive but it has a great amount of portion I think I will assume that it's a good thing but if it's unbalanced like it has a great high price but very less portion or Little Portion I will hate it,restaurant finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,1,4,5,4,2,4,5,1
"What specific criteria do you look for when determining if a clinic has ""good ratings""?",What do you consider a good rating?,if that's not the case then the second thing that I do is I Google at the particular doctor clinics with good ratings and if it's covered under my insurance I'll just proceed with that particular clinic,clinic finding,A good follow-up question should ask for clarification whenever words the interviewee said are unclear.,1,5,4,5,5,5,2,0
What other criteria do you look for besides insurance coverage to decide clinics?,How do you determine if a clinic is covered under your insurance in the process of finding a suitable doctor?,if that's not the case then the second thing that I do is I Google at the particular doctor clinics with good ratings and if it's covered under my insurance I'll just proceed with that particular clinic,clinic finding,"A good follow-up question should be related to the interview domain, and should not be too generic.",1,5,5,5,4,5,4,1
How important are online ratings to you when choosing a clinic or doctor?,What other criteria do you look for besides insurance coverage to decide clinics?,if that's not the case then the second thing that I do is I Google at the particular doctor clinics with good ratings and if it's covered under my insurance I'll just proceed with that particular clinic,clinic finding,"A good follow-up question should avoid asking vague questions that could infer no reasonable meaning, which are questions that do not have enough context or clarity for interviewee to answer.",2,4,5,5,5,3,4,0
What are the other ways in which you can commute?,What alternatives do you consider for transportation when looking for apartments that are outside walking distance?,"I don't have the car, so I generally walk.",apartment finding,A good follow-up question should look for alternatives to existing information.,2,5,5,5,5,4,5,1
Why do you think one has to be alert and mindful of their surroundings?,Can you share a specific experience where being mindful and alert during a hike helped you avoid a potential risk or encounter in nature?,I recommend no extreme weather because too much heat is bad too much of anything is bad but I have hiked both in the rain and in the snow with light rain and snow although I thought it will not be fun but actually it was really fun  I think the only tips would be to be mindful of your surroundings be very alert because one does not know what might happen and or what's there in nature like there are other animals which might be scared of us and always carry water,hiking trail finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,1,4,4,3,4,4,5,1
What other factors do you consider for deciding what to wear?,How do you typically check or gather information about the weather conditions when preparing for a hiking trip?,"for clothes it really depends on the weather conditions how the weather is looking for the next probably a few hours
",hiking trail finding,"A good follow-up question should be related to the interview domain, and should not be too generic.",1,4,3,4,4,4,5,1
Will you like a place that is cheap but the portion sizes are small?,Can you elaborate on how you determine the right balance between price and portion size when looking for a restaurant?,I think I'm looking for the balance it was a bounce between the pricing and the portion so even if it is expensive but it has a great amount of portion I think I will assume that it's a good thing but if it's unbalanced like it has a great high price but very less portion or Little Portion I will hate it,restaurant finding,"A good follow-up question should ask for clarification whenever the interviewee mentioned two conflicting information or described potential features in conflicting terms. For example, if the INTERVIEWEE said he wanted to have an app recommending to him good restaurants based on his age and gender, but he also wanted the app to protect his private information, then this may be a case that needs clarification.",1,3,4,4,3,4,5,1
Are there any other factors that you consider while finding clinics?,How do you determine which trusted friends' recommendations to prioritize or weigh against Google reviews when choosing a clinic?,yeah I also take recommendations from other people if some trusted friends recommend some clinic I also  ticket into consideration but I also look at the Google reviews as well,clinic finding,A good follow-up question should look for alternatives to existing information.,1,3,4,3,4,4,4,1
What are some key safety precautions that you ensure while hiking?,How do you determine if a hiking trail has adequate parking facilities?,"I take a car so parking's very important
",hiking trail finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",2,2,5,3,5,4,5,1
Can you describe a recent experience where you felt the balance between price and portion was just right?,Do you consider the restaurant's price range while deciding what restaurant to visit?,I think I'm looking for the balance it was a bounce between the pricing and the portion so even if it is expensive but it has a great amount of portion I think I will assume that it's a good thing but if it's unbalanced like it has a great high price but very less portion or Little Portion I will hate it,restaurant finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",1,5,2,5,4,5,3,0
"""What alternative precautions do you take when preparing for a hike in mild weather compared to hiking in rain or snow?""",What alternatives do you suggest if the weather is extreme?,I recommend no extreme weather because too much heat is bad too much of anything is bad but I have hiked both in the rain and in the snow with light rain and snow although I thought it will not be fun but actually it was really fun  I think the only tips would be to be mindful of your surroundings be very alert because one does not know what might happen and or what's there in nature like there are other animals which might be scared of us and always carry water,hiking trail finding,A good follow-up question should look for alternatives to existing information.,2,4,5,4,5,4,4,0
Can you describe what specific elements of ambiance you consider when choosing a restaurant for a romantic date or celebration?,How to you gather information about a restaurant's ambiance?,I typically think the Ambiance is more of like a plus that just adds to the place I don't know if I consider it unless there's only like two types of times when I'm looking for a particular Ambience one is like on a romantic date or something like that and the other one is a celebration like maybe I want more high energy but I think if it's just a casual meal or most of the scenarios the Ambiance is just like a plus but not necessarily like what I'm looking for when I'm trying to choose a restaurant on average,restaurant finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,1,5,5,5,5,5,5,0
What factors influence your decision on whether you'll have roommates or live alone in a studio?,Why do you want to buy only a studio?,I was not going to have roommates in probably a studio. Might depend on how many people I can find.,apartment finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,1,4,5,4,5,3,3,0
What other alternatives do you consider besides walking on hiking trails?,What length range do you consider a trail to be long versus short?,yes well I decide whether a trail is long or short by how many miles it is  usually for state parks or even most of the parks in my city they have published information regarding how long one Loop of the trail is  I try to walk at least a mile at a time,hiking trail finding,"A good follow-up question should avoid asking vague questions that could infer no reasonable meaning, which are questions that do not have enough context or clarity for interviewee to answer.",1,5,4,5,4,2,3,1
"Are there other specific factors, besides ambiance, that influence your restaurant choice when you’re planning a romantic date or a celebration?",What other factors do you consider while finding restaurants?,I typically think the Ambiance is more of like a plus that just adds to the place I don't know if I consider it unless there's only like two types of times when I'm looking for a particular Ambience one is like on a romantic date or something like that and the other one is a celebration like maybe I want more high energy but I think if it's just a casual meal or most of the scenarios the Ambiance is just like a plus but not necessarily like what I'm looking for when I'm trying to choose a restaurant on average,restaurant finding,A good follow-up question should look for alternatives to existing information.,2,4,5,4,5,3,2,0
What specific aspects of landlord relations do you consider important when evaluating potential apartments?,Why do you think the relationship with the landlord is an important factor while finding apartments?,Landlord relation is pretty important.,apartment finding,A good follow-up question should elicit tacit knowledge that are known to the interviewee but unknown to the interviewer.,1,5,4,5,4,3,3,0
Which websites do you use to search for apartments online?,How significant a role does deposit play when you are deciding apartments?,"I start search, online.",apartment finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",1,5,4,5,3,2,3,0
What are some alternative approaches you would prefer if minimal prescriptions are not possible?,What other factors do you like/dislike about doctors?,I like if the doctor prescribes like minimal number of medicines instead of like putting an extreme amount of medicines,clinic finding,A good follow-up question should look for alternatives to existing information.,2,3,5,3,5,4,3,0
How important are Google reviews compared to friends' recommendations when deciding which clinic to visit?,How do you prioritize recommendations from friends versus Google reviews when deciding on a clinic?,yeah I also take recommendations from other people if some trusted friends recommend some clinic I also  ticket into consideration but I also look at the Google reviews as well,clinic finding,"A good follow-up question should avoid asking questions that lead to multiple interpretations, which are questions that can be interpreted in more than one way.",1,5,5,5,5,3,3,1
How do you decide where to get your pizza from when you choose to have it multiple times a day?,What other factors do you consider while finding restaurants?,I usually like to have a bit of diversity so I would not eat what I ate in the last couple days  the exception to that is I can always have pizza breakfast lunch or dinner and anytime even multiple meals a day Pizza is like you know an easy go to option but usually it's related to what haven't I had in a decent amount of time,restaurant finding,"A good follow-up question should be related to the interview domain, and should not be too generic.",1,5,5,5,5,3,3,0
What if the person does not stay in the area currently and cannot travel in person?,"What specific factors or elements do you consider when determining if you have a ""good feel"" about an area?","You can like, do some research online, but also by just checking out the area. I think. Okay. So just checking out the area and see if we get a good feel about it.",apartment finding,A good follow-up question should be able to justify or authorize assumptions that the interviewee tacitly made without justification.,1,4,5,4,3,3,4,1
What other alternatives do you consider besides walking on hiking trails?,How do you usually access the published information regarding trail lengths?,yes well I decide whether a trail is long or short by how many miles it is  usually for state parks or even most of the parks in my city they have published information regarding how long one Loop of the trail is  I try to walk at least a mile at a time,hiking trail finding,"A good follow-up question should not involve multiple kinds of requirements, i.e., it should not mix different categories of requirements or multiple specific requirements within one category into one single question.",1,5,4,5,5,5,3,1
What are the specific errors in your experience that people make while trekking?,Can you share any specific strategies or preparations you use to ensure safety and alertness during hikes in light rain or snow?,I recommend no extreme weather because too much heat is bad too much of anything is bad but I have hiked both in the rain and in the snow with light rain and snow although I thought it will not be fun but actually it was really fun  I think the only tips would be to be mindful of your surroundings be very alert because one does not know what might happen and or what's there in nature like there are other animals which might be scared of us and always carry water,hiking trail finding,"A good follow-up question should avoid asking vague questions that could infer no reasonable meaning, which are questions that do not have enough context or clarity for interviewee to answer.",2,2,5,2,4,4,3,1
What are the specific errors in your experience that people make while trekking?,"How do you determine whether the weather conditions are suitable for hiking, and what specific precautions do you take when hiking in rain or snow?",I recommend no extreme weather because too much heat is bad too much of anything is bad but I have hiked both in the rain and in the snow with light rain and snow although I thought it will not be fun but actually it was really fun  I think the only tips would be to be mindful of your surroundings be very alert because one does not know what might happen and or what's there in nature like there are other animals which might be scared of us and always carry water,hiking trail finding,"A good follow-up question should be related to the interview domain, and should not be too generic.",1,3,4,5,4,5,4,1
